Image,left shoulder X,left shoulder Y,left wrist X,left wrist Y,right shoulder X,right shoulder Y,right wrist X,right wrist Y,Label
1.png,138,101,63,219,137,106,91,228,stand
2.png,90,97,102,235,70,107,28,220,stand
3.png,99,99,82,218,95,98,84,213,stand
4.png,90,96,74,211,71,98,70,211,stand
action0722.png,252,66,273,41,228,58,273,38,stand
action0726.png,142,87,165,105,114,80,100,123,stand
action0739.jpg,245,126,267,97,261,133,269,92,stand
action0743.jpg,195,166,233,243,110,149,25,255,stand
action0745.jpg,172,252,170,296,136,243,106,294,stand
action0746.jpg,255,157,301,273,165,152,58,217,stand
action0753.jpg,226,178,268,259,161,179,157,237,stand
action0755.jpg,131,166,164,306,139,147,194,282,stand
action0757.jpg,191,101,167,158,109,105,109,168,stand
action0758.jpg,256,151,171,201,258,148,240,292,stand
action0761.jpg,367,230,418,286,312,235,273,301,stand
action0763.jpg,233,192,222,286,274,193,311,274,stand
action0764.jpg,261,120,243,179,300,117,314,144,stand
action0771.jpg,156,174,150,259,55,182,54,277,stand
action0773.jpg,199,149,198,185,156,152,150,204,stand
action0774.jpg,228,92,238,141,171,92,184,149,stand
action0777.jpg,192,82,200,105,142,85,139,126,stand
action0781.jpg,156,202,146,237,166,204,199,225,stand
action0843.jpg,356,92,351,123,335,97,336,133,stand
